,revenue,reach,local_tv,online,instore,person,event
731,39370.6,2,27847.27,2499,3867,12,special
941,22081.84,3,28690.8,499,3606,9,holiday
994,44325.96,2,33468.52,2173,4355,7,cobranding
675,42154.66,4,34679.19,820,5047,12,non_event
216,28507.52,3,28666.76,1318,2297,8,cobranding
798,46649.18,4,27054.33,1283,4436,15,cobranding
122,36617.3,4,34303.1,1882,4203,7,special
835,48565.53,4,31657.72,2276,3227,11,cobranding
158,30767.96,3,32218.18,1980,2229,8,cobranding
695,23237.55,5,34244.45,1640,1644,8,special
358,52801.92,4,35496.52,2380,4861,11,non_event
706,31418.35,6,37108.2,1927,1554,9,special
64,29570.17,4,22299.89,1457,4086,16,non_event
944,49725.22,3,37467.61,2259,3520,10,cobranding
717,18056.8,3,25958.4,1434,2446,7,special
127,57175.23,3,38369.25,2379,3646,9,cobranding
306,50388.64,4,30989.47,2073,5572,10,holiday
800,12517.17,3,26184.24,1842,3930,5,special
274,49208.16,4,42048.38,790,1958,12,cobranding
666,37894.7,3,31325.99,1582,2766,12,cobranding
430,34141.54,4,29235.45,1027,3198,14,non_event
235,46536.66,4,29582.55,1292,5516,14,cobranding
392,35243.11,3,24814.29,1556,3458,16,special
808,25042.1,4,25902.96,729,4686,10,holiday
856,70334.57,4,38796.55,1199,4998,13,special
767,28368.63,3,,1412,3771,10,non_event
92,27252.85,3,,2064,2259,12,special
361,58782.94,2,31775.41,1823,5963,9,special
998,40226.41,4,29218.3,1932,4410,13,non_event
511,49957.12,3,35237.37,569,4764,13,holiday
500,38432.78,4,24876.55,1777,4862,13,holiday
228,30214.12,4,31164.57,1704,1948,9,non_event
383,35099.29,3,34721.85,1490,3118,10,cobranding
978,7146.99,2,21252.35,852,2372,5,cobranding
180,40602.55,4,33055.07,1753,4397,9,special
157,46090.1,5,35498.18,1881,3234,12,holiday
98,46243.71,3,28656.5,1842,4282,11,cobranding
25,42761.34,3,31444.09,1697,3947,10,holiday
173,53453.47,2,38458.81,999,3864,12,cobranding
597,41267.62,4,29275.79,1203,3399,11,cobranding
447,28858.32,4,31757.17,1596,3183,9,cobranding
642,65428.82,4,32444.9,2309,3952,17,special
837,23072.92,1,26308.82,2484,1996,5,holiday
420,55767.01,3,36303.58,2277,3394,10,cobranding
551,42388.67,3,29662.5,1760,4485,12,special
607,15492.83,2,26023.13,1444,2650,9,holiday
918,20079.93,3,,1375,2404,7,holiday
49,42146.15,4,30678.69,1853,3493,15,cobranding
869,33404.14,2,35967.7,1293,1578,10,cobranding
247,25365.65,3,29572.28,1288,3161,10,cobranding
939,22080.47,4,25786.68,1770,3141,7,special
969,30517.5,3,31371.26,406,3666,6,cobranding
410,41940.41,2,33759.41,1675,2997,12,special
185,43795.92,5,33768.59,2070,4476,10,special
408,10001.8,4,23398.15,1411,4041,6,cobranding
890,40462.74,2,34855.33,816,3522,9,non_event
920,27327.2,3,,1657,2964,11,cobranding
365,50991.75,4,35261.47,2106,4017,12,non_event
162,34734.11,4,21428.2,2364,3503,17,special
976,32084.17,3,34455.96,1194,1809,12,special
203,57586.89,5,36478.25,2381,4574,16,non_event
520,25949.38,3,30803.4,2896,4397,6,special
512,46911.29,4,28310.11,1849,1730,14,special
249,34084.96,4,29423.47,2219,3654,11,special
357,25045.8,2,27734.56,1476,3141,9,holiday
794,40528.18,4,36783.52,1017,1427,11,cobranding
514,44422.7,4,35656.04,1209,2370,14,cobranding
535,28819.37,4,31776.73,1322,2802,7,cobranding
628,35417.85,3,32167.94,1541,2968,10,cobranding
283,37562.01,4,25343.91,1670,5627,10,cobranding
234,25912.92,4,28131.97,1917,3734,6,cobranding
530,17700.8,5,25215.37,849,3647,12,non_event
261,57533.77,2,34496.66,1432,3339,14,non_event
840,51180.02,5,35048.37,1300,3022,16,special
604,44240.34,1,28228.66,1355,3418,11,non_event
501,41908.39,3,32414.87,1578,3517,10,holiday
278,18617.76,3,26296.1,1937,2690,9,cobranding
907,21253.85,3,28940.58,1510,2597,6,special
556,37830.66,3,27206.87,2333,4527,10,cobranding
750,42852.23,3,30030.29,1812,3296,16,special
912,27501.97,3,30514.49,477,2344,8,cobranding
899,37067.2,3,35426.39,1042,684,13,holiday
926,49247.14,3,,2206,3218,10,special
141,33598.94,4,34311.51,1595,2687,9,special
24,54866.6,3,33591.91,1904,3741,14,holiday
491,31638.34,5,27836.98,1955,3963,13,cobranding
302,49101.47,4,33928.22,2386,5190,11,cobranding
964,50771.07,5,38561.84,2377,2933,15,special
558,24196.68,3,27107.14,797,1602,10,special
46,27856.08,4,28445.21,1623,1018,13,cobranding
145,47825.43,3,29648,1663,4713,11,special
334,37788.81,3,30720.72,1311,3396,11,cobranding
314,37773.69,4,30151.08,1702,2817,12,cobranding
115,19019.47,3,29598.75,1641,2075,5,special
280,42745.11,3,36123.26,1851,4554,9,cobranding
29,52196.35,3,36584.89,2125,2843,13,cobranding
643,31426.68,4,29480.22,2021,2316,9,cobranding
582,34242.61,3,31497.89,1271,5054,8,cobranding
667,41873.84,3,33449.03,1792,2800,10,special
322,47444.54,4,30413.92,1622,4194,14,holiday
780,25828.04,3,26204.07,1664,2760,9,cobranding
583,63702.1,3,38117.18,1734,3522,12,special
815,57651.25,3,38638.7,2064,3129,13,non_event
616,28218,3,,1311,1913,11,special
820,36616.53,2,30164.03,2035,4490,11,special
983,42007.8,2,35106.06,905,3702,9,special
892,30470.71,3,30055.84,1038,2272,13,cobranding
102,60831.03,3,39972.55,1387,2928,14,special
327,39436.39,2,32732.65,1639,2652,9,cobranding
955,36997.37,5,33489.39,2511,4415,11,cobranding
619,38225.81,3,35979.57,2156,1873,9,special
990,32363.56,3,26744.41,1222,5533,9,cobranding
566,59271.59,2,37439.74,1770,3719,14,non_event
931,26813.65,3,31511.77,1653,1889,9,non_event
841,25632.79,3,30067.4,1467,2239,8,cobranding
256,38159.11,6,28666.49,322,4479,13,special
258,21067.02,5,30029.56,1207,1619,11,cobranding
718,18878.57,4,27584.93,2169,3024,9,cobranding
296,30709.87,4,31049.7,699,5073,4,holiday
778,41497.2,3,30548.23,3105,2440,13,special
6,40192.34,3,27606.43,1852,5011,13,non_event
728,34349.84,4,26374.84,2077,4092,13,cobranding
132,34352.83,4,28266.62,545,2667,14,non_event
416,26189.18,3,28526.37,1708,2214,7,cobranding
376,44480,2,36324.64,1259,1552,10,cobranding
456,42878.43,4,30181.7,714,3131,17,holiday
330,28006.95,5,26230.22,600,3503,11,special
936,52473.15,3,36330.79,1383,3709,12,non_event
785,41624.78,4,30876.57,1417,4711,11,special
822,35451.16,4,33304.48,1608,2893,7,special
317,39133.33,4,31216.94,1657,4361,8,special
753,33024.04,3,26217.01,2618,3412,9,non_event
373,49263.31,3,34731.54,1729,3982,11,cobranding
478,36679.4,4,29084.54,2124,2968,15,non_event
538,21316.33,5,30016.09,592,2109,7,non_event
240,37717.6,2,33687.06,1694,2933,8,cobranding
993,25625.48,4,30769.04,1529,3469,12,holiday
21,25451.94,4,26915.83,1467,3856,11,cobranding
764,29973.74,4,,2158,2079,13,special
690,50815.72,4,,2021,2119,15,cobranding
454,42856.94,4,34173.75,1441,4170,7,cobranding
691,23088.53,5,,1848,3109,8,special
245,31817.16,5,27033.09,1186,4874,12,non_event
711,44587.41,3,33226.3,1177,2747,11,non_event
813,13086.27,4,30767.37,835,3195,4,cobranding
65,45914.96,5,38230.57,1719,2447,12,special
468,34572.85,4,29284.29,1507,3340,11,special
213,35882.32,4,31007.96,1255,3995,12,cobranding
200,47333.58,3,29703.57,319,4745,14,special
702,42009.11,4,31523.81,1522,3605,10,cobranding
476,34115.27,3,27622.57,866,3062,12,cobranding
318,21825.76,4,36114.01,1874,1808,10,cobranding
748,45718.27,4,33439.71,2155,2449,16,non_event
91,35588.62,1,,967,4009,12,special
433,20997.59,3,23456.67,1772,3303,10,cobranding
611,69429.39,3,42069.84,1619,3319,15,non_event
588,26330.85,4,29616.59,840,4253,8,non_event
197,26162.8,4,30546.94,1238,3042,8,special
777,35172.44,2,29766.02,641,2513,12,cobranding
509,35052.49,3,30989.46,699,4180,11,cobranding
922,36302.67,4,,1396,4219,11,non_event
308,25643.62,5,27213.44,1665,4033,11,cobranding
755,44117.41,4,26194.72,2009,3628,15,non_event
497,36938.32,3,30920.84,2109,2042,12,special
60,35444.97,4,29843.62,1788,2389,10,non_event
345,42181.81,3,34923.59,1412,4905,11,non_event
335,39653.67,3,29982.31,1988,4973,10,cobranding
375,35969.19,4,22121.85,1835,4130,12,special
812,18724.9,3,25210.9,1979,2602,9,non_event
768,22859.36,2,,1308,1580,10,cobranding
505,36601.17,1,29502.18,2246,4153,8,special
450,23568.94,4,26978.03,1004,3514,11,special
849,57970.72,3,36701.68,1800,3314,12,holiday
735,40901.57,6,31299.91,885,3137,14,cobranding
673,56984.93,3,36548.17,1735,4345,13,special
316,31859.55,3,31592.32,1799,4947,6,cobranding
496,37796.69,4,30467.37,1897,3070,11,non_event
393,79342.07,3,40720.12,1150,3849,18,cobranding
749,30283.01,4,30653.46,1966,4145,12,cobranding
339,27925.02,3,33333.32,1173,2587,6,cobranding
544,50831.75,4,38114.12,1266,2806,13,holiday
992,37505.68,3,33502.47,2276,2974,11,cobranding
526,17884.83,6,29470.45,1025,4553,5,special
159,19162.18,4,24629.66,1277,2999,11,special
372,54174.34,2,28558.21,2310,3626,13,special
579,33712.36,4,34518.99,2040,3158,8,cobranding
88,45304.25,5,32895.79,2475,3255,13,non_event
734,55430.55,2,37248,2024,4022,10,special
716,35882.66,2,28112.5,1404,3791,9,non_event
428,54132.81,5,38697.52,1609,2392,14,cobranding
652,39234.34,4,39006.35,790,3406,9,special
353,54190.67,4,42135.38,1405,4167,7,cobranding
850,36693.49,3,28196.03,2076,2406,12,non_event
86,32560.58,4,34135.53,2649,1613,12,special
324,36033.51,5,30612.27,1536,2349,11,non_event
229,46700.35,4,37257.3,1253,3279,7,special
494,29193.63,4,23368.39,1515,2729,18,cobranding
559,29277.32,4,26689.02,1419,2512,13,special
528,36899.47,4,28820.41,2258,3030,11,special
901,39553.13,5,26010.86,988,6249,14,special
769,22796.76,5,,2177,2681,11,special
366,49314.11,3,34557.92,2196,2015,15,special
73,46012.68,4,35080.67,1273,3914,11,cobranding
165,29993.43,4,29617.13,2457,3260,6,special
807,31946.87,3,27435.74,925,3681,13,holiday
896,35474.26,5,34360.99,903,3182,9,cobranding
811,27711.35,2,29559.97,1616,2531,13,cobranding
96,57482.58,3,,2014,2538,16,cobranding
176,33431.9,3,26452.9,1514,4188,7,cobranding
692,48701.09,3,30149.69,1222,3458,15,cobranding
913,50787.37,4,33127.21,1937,3649,14,cobranding
984,32527.33,4,25176.79,1723,4073,14,special
659,20974.55,3,29342.5,1253,2825,11,cobranding
62,34405.59,4,32838,1791,3778,8,cobranding
488,59142.15,4,38065.69,1660,2458,13,cobranding
293,47785.41,3,30090.96,1509,3764,12,special
639,42459.94,4,29526.52,2243,2491,18,cobranding
380,24297.69,3,28536.72,952,3387,10,special
121,47520.1,3,29236.25,1362,4322,12,special
576,29669.37,5,27830.83,1458,2262,14,non_event
880,55121.37,3,33141.67,2397,3942,16,special
329,36803.21,2,30498.42,2246,4102,10,non_event
94,34431.16,3,,1317,3215,14,cobranding
349,50974.45,3,37925.58,2181,2083,11,cobranding
4,35128.18,4,30691.17,847,3774,11,cobranding
164,36485.31,4,30612.82,1377,2094,15,special
747,12773.19,5,23512.9,1444,3797,9,cobranding
979,25690.76,3,26956.61,1060,3939,13,cobranding
789,47842.85,4,33013.32,1697,3478,16,cobranding
352,35920.67,4,37946.69,574,3337,9,cobranding
377,49784.7,3,30470.69,1292,3652,16,special
490,29677.54,4,29564.11,1380,2042,10,special
932,31153,2,32654.61,1857,2842,6,cobranding
336,25615.24,3,30386.29,217,1284,11,holiday
697,36693.4,4,26304.47,2000,3144,17,cobranding
110,38193.35,2,32416.15,832,5265,8,non_event
487,29913.38,3,22366.24,1638,3051,15,non_event
596,41154.82,5,30000.95,1608,2741,15,non_event
548,42131.06,4,28037.58,2811,4180,13,special
774,32954.9,4,30448.47,1414,3402,9,cobranding
592,29190.98,3,31444.25,1714,1836,13,special
721,45901.75,3,29387.54,1250,3907,15,non_event
741,19123.95,3,28163.51,1284,3444,9,special
133,51281.73,2,41336.55,1685,4027,7,non_event
547,20508.31,4,22734.76,1213,4123,13,holiday
644,41382.63,2,30303.76,1232,3985,11,non_event
284,49439.77,3,29948.73,1913,4822,16,non_event
220,46565.81,3,34961.33,1296,2814,11,cobranding
67,37513.78,3,29585.68,1189,3304,13,holiday
676,33365.95,4,30495.01,1197,3460,11,special
263,33673.16,4,30723.86,1650,3076,14,non_event
904,40150.37,3,33161.8,1637,1717,11,non_event
610,40967.4,4,34818.48,878,3262,12,cobranding
193,42434.11,3,28621.15,1415,2656,14,cobranding
401,46033.02,4,30301.9,1840,4807,12,cobranding
634,61349.56,2,34764.25,1499,4277,17,cobranding
522,34834.28,3,26672.97,2378,3586,9,holiday
108,32433.77,3,30104.26,2059,1592,12,non_event
858,40570.7,3,34259.06,2031,3065,11,special
884,56731.17,4,33865.35,2903,4171,15,cobranding
862,44818.42,4,31830.88,1462,2768,16,cobranding
590,30463.55,5,33606.66,880,5520,6,holiday
395,45806.28,3,32372.3,2482,2348,11,cobranding
961,45646.66,4,35628.65,2272,4036,12,non_event
276,50755.75,2,31598.16,1670,4968,12,cobranding
612,34919.31,3,,1608,3265,12,cobranding
834,25984.08,6,27557.83,2081,2413,12,non_event
350,22284.54,5,26695.78,1708,2783,12,special
957,44675.03,3,30298.27,2031,3262,15,non_event
425,36379.17,3,28579.48,1238,4435,11,cobranding
569,44281.06,4,27781.28,1844,4493,15,holiday
803,54634.7,3,33670.53,2096,4744,13,special
356,39092.52,3,38918.55,930,3715,6,cobranding
965,36599,6,31876.88,2300,3426,9,non_event
289,29531.04,4,30471.18,918,3052,11,special
824,43255.52,4,34186.57,2286,2806,11,cobranding
508,38863.73,5,28561.14,1990,3035,14,holiday
441,43000.19,4,28562.12,1565,2820,16,special
150,46209.51,3,36146.52,859,3334,10,non_event
123,49781.7,4,31962.63,1884,3965,16,special
418,28218.24,4,25434.45,1325,3578,11,cobranding
489,41200.79,4,32592.97,1769,2521,14,cobranding
980,31381.72,3,32227.96,1956,1899,11,cobranding
943,48141.49,4,34013.36,2687,3175,10,cobranding
624,53389.9,5,33132.99,1697,3918,14,special
622,40021.64,2,27621.35,1659,4088,12,non_event
627,36826.52,2,28319.16,2328,2478,10,special
38,38840.98,3,30295.42,1771,3173,13,special
930,60789.94,4,42162.64,920,4980,15,cobranding
726,48825.77,5,35365.27,1461,3579,11,holiday
266,34007.09,5,29983.8,858,3071,12,special
578,32459.56,2,29536.28,2326,3577,8,cobranding
689,30985.25,3,,1379,2808,11,special
66,43150.56,4,32079.26,709,6464,11,cobranding
982,44493.61,6,30908.97,1611,3129,15,cobranding
355,49586.48,4,38048.23,1916,5093,8,cobranding
323,25519.52,3,31558.11,1202,4566,7,cobranding
571,56895.72,2,36357.79,1865,3283,13,special
495,55866.49,4,34982.23,1963,3514,13,cobranding
591,28854.15,4,35990.29,1529,3670,4,special
307,33264.83,3,29542.32,1119,2800,14,special
705,27701.59,3,30572.11,2144,3343,10,non_event
449,37920.19,2,34399.4,934,1892,10,non_event
187,27875.45,4,26722.02,1735,2931,10,special
527,56721.03,2,35259.72,2253,3530,13,cobranding
757,25739.86,3,25098.19,984,5603,8,non_event
521,13614.72,3,28707.61,2012,2076,6,special
480,50034.35,2,31247.44,1673,3891,11,special
669,64424.11,4,38611.8,2375,3147,17,cobranding
871,39133.28,4,35903.37,1850,3075,7,holiday
444,29287.7,4,33424.76,1204,1671,8,cobranding
15,33497.54,2,,1668,3748,10,cobranding
160,5000,3,25977.57,2416,3239,0,holiday
54,34802.11,5,34063.49,1000,2776,11,cobranding
126,9121.99,7,31445.21,1261,0,13,cobranding
523,53317.69,3,41047.01,1699,3139,11,holiday
35,33772.24,4,26707.43,1205,3654,13,cobranding
287,12252.77,3,23179.49,1937,1750,7,non_event
415,52461.44,3,33717.75,1592,2244,15,cobranding
466,40854.13,5,31136.46,1687,3717,13,non_event
202,50719.15,3,28559.99,2509,4100,15,special
254,36028.46,2,27411.99,1891,4000,10,holiday
469,44033.71,3,36072.41,1163,2990,12,cobranding
846,28928.96,3,33922.25,1005,2812,6,non_event
243,26576.85,5,27978.46,1418,2760,10,non_event
207,46394.87,2,34892.02,1503,4621,9,special
285,47352.4,3,32215.9,1834,5346,9,cobranding
177,38572.62,4,32512.62,1540,3168,10,cobranding
898,25880.17,3,24584.31,1607,4049,9,non_event
69,37407.58,4,28173.88,1357,3683,12,special
434,39072.46,2,29817.73,1145,2542,12,cobranding
779,28554.67,3,32262.31,2062,2883,5,non_event
865,30585.78,4,32895.77,700,3316,11,cobranding
171,30734.23,1,28818.15,2248,5171,5,special
107,49886.71,3,32674,912,4106,16,cobranding
460,46492.97,4,31430.74,2009,4913,14,non_event
542,34271.29,5,33356.14,1416,3868,8,special
861,44268.8,4,27909.1,956,4949,16,cobranding
938,39074.71,4,29184.87,1660,3115,15,cobranding
640,41017.35,5,32854.02,1751,4400,13,special
53,45725.75,4,33831.28,1700,4395,8,cobranding
188,42154.95,2,25385.14,1897,3549,14,holiday
411,40417.91,3,25979.59,1121,3694,14,cobranding
403,71757.5,2,37859.47,1051,4573,17,special
773,37598.83,4,23753.58,1137,3112,16,cobranding
439,24543.12,2,26305.95,663,3879,9,special
399,52726.4,4,31891.49,2628,5418,11,holiday
10,33410.76,6,29795.15,1350,3321,16,holiday
977,34780.21,3,30888.99,965,2506,13,cobranding
117,44046.74,3,38856.6,1234,3654,6,holiday
493,45379.58,4,28848.72,2109,3398,13,special
801,50024.3,4,35975.94,1120,5509,14,special
347,35817.24,5,33519.03,1633,3548,10,cobranding
632,18865.24,2,26243.84,1377,3231,6,cobranding
475,30762.85,4,26306.16,866,4266,13,cobranding
5,36310.72,2,31608,2187,1805,7,cobranding
271,40484.91,3,29663.75,2534,5111,13,cobranding
776,16282.72,4,24371.14,1665,3796,7,special
700,42159.98,4,34912.47,2195,3170,10,non_event
435,44646.19,3,30194.21,1236,4963,13,non_event
61,42175.58,3,32174.55,1102,3159,15,cobranding
713,55887.64,2,33938.23,2474,3221,12,non_event
70,28212.75,4,32294.62,742,3997,6,cobranding
698,14711.98,2,21792.84,1028,3132,6,holiday
492,35691.18,6,32730.5,1583,2588,11,special
649,48283.05,3,33277.05,1188,3386,14,special
181,34144.68,4,32399.11,1482,3486,8,special
404,52170.35,2,35111.6,1758,3235,12,non_event
736,39580.5,3,29526.54,1514,3145,12,cobranding
333,32606.44,4,36068.86,1866,2962,7,special
581,35517.27,2,30939.68,847,2954,11,cobranding
148,31622.93,4,28398.05,2303,2733,16,non_event
909,26358.7,4,29754.96,2098,3470,7,non_event
963,29488.42,4,24402.69,1959,3729,11,holiday
758,32628.63,2,30710.55,1999,2543,10,cobranding
152,42819.49,3,29936.93,1629,2386,14,cobranding
534,25112.42,3,28096.53,1506,3020,9,cobranding
954,34579.43,3,28372.99,1605,4608,11,special
451,26857.28,4,24844.29,1212,3777,7,special
429,55523.85,2,36021.31,1921,3549,14,cobranding
902,28712.63,6,33998.54,1585,1850,8,holiday
182,43200.85,3,31344.58,1904,3132,14,special
155,29422.28,3,30738.71,1607,3560,8,cobranding
179,28381.49,3,27945.46,1169,2752,10,cobranding
99,25749.67,4,28143.22,2123,3369,6,cobranding
788,38112.32,5,28544.35,1355,2687,15,cobranding
232,34976.86,5,30853.88,1277,4743,7,holiday
967,29092.85,3,30871.71,2065,2800,10,non_event
479,20325.96,2,26226.05,1691,3886,5,non_event
756,50734.05,3,32210.86,1103,3651,14,cobranding
949,40357.58,4,30569.08,2154,3937,12,non_event
832,48517.27,4,35845.93,918,2644,10,cobranding
448,49418.79,4,27413.44,1885,6489,11,special
204,35391.85,5,36637.72,1271,2968,12,special
585,43146.52,3,30519,2253,3378,10,cobranding
630,46336.47,3,31382.18,1887,4126,10,cobranding
929,26798.45,5,34511.68,1547,4036,6,non_event
135,34815.04,4,34407.88,1818,2638,10,non_event
740,45982.16,3,35448.85,1988,3188,11,holiday
795,66074.12,4,32497.6,2338,4569,18,special
402,53212.11,4,29458.17,1957,3586,16,special
12,23072.56,4,,901,2552,9,cobranding
516,38902.83,2,29010.45,1819,3997,13,cobranding
467,52366.71,3,33646.84,2475,3311,15,cobranding
754,37258.3,2,28878.76,1273,3102,11,special
541,51036.6,4,34517.96,2312,3828,12,special
2,39715.16,1,32182.24,1498,3260,12,special
34,41996.1,4,30250.51,1280,5188,10,cobranding
432,22925.47,4,25825.52,1303,4232,13,cobranding
987,37559.08,3,29243.62,1280,3075,13,special
905,10921.78,5,23633.83,1704,4186,9,holiday
142,58792.99,2,40647.84,2544,1805,14,cobranding
265,42139.74,3,34297.7,1668,2282,14,special
564,47704.56,3,35629.97,1183,2603,13,holiday
614,44318.83,5,,1502,2413,14,non_event
852,53812.7,3,34804.56,1305,4663,14,cobranding
818,32038.65,5,30498.14,1084,3861,10,non_event
421,32005.52,4,33902.3,1673,3694,6,non_event
733,40924.87,2,32785.48,1588,4294,10,cobranding
384,16443.85,4,23728.34,1847,1633,13,cobranding
137,43585.45,4,33683.86,907,4321,14,cobranding
560,34374.52,4,22418.27,1257,3817,15,holiday
825,40750.16,3,34962.69,2212,2989,9,special
600,46324.83,4,33882.65,1841,3320,17,cobranding
715,62236.15,2,37369.98,921,4214,14,non_event
765,50185.17,2,,1650,3117,12,cobranding
362,39619.28,5,26312.4,1161,3820,14,special
390,41427.48,3,28762.39,1987,3153,10,special
760,46503.74,3,35867.67,2508,2159,9,cobranding
971,47431.62,2,32249,2300,2964,15,non_event
368,31209.17,4,33372.26,885,3832,11,cobranding
0,42247.8,3,30527.57,1407,3302,12,special
708,59546.57,2,31233.04,1849,4335,18,special
598,31138.22,3,34346.13,1200,3166,8,non_event
917,53704.8,4,,1868,1649,15,cobranding
27,59909.1,3,30215.9,1532,3702,16,cobranding
26,32274.64,4,30535.26,2381,3578,12,cobranding
